Rank,Name,Active_Probability,InDomain,Smina_Affinity,GNINA_Vina,GNINA_CNNscore,GNINA_CNNaffinity
1,ZINC000005275868,0.9718,In-Domain,-11.27694,,,
2,ZINC000003978002,0.9711,In-Domain,-10.4841,,,
3,ZINC000104043872,0.9719,In-Domain,-10.18116,,,
4,ZINC000034389106,0.9742,In-Domain,-10.13397,,,
5,ZINC000017419101,0.9679,In-Domain,-9.53204,,,
6,ZINC000003902442,0.9725,In-Domain,-8.55021,,,
7,ZINC000006256177,0.9853,In-Domain,-8.04868,,,
8,ZINC000006256179,0.9838,In-Domain,-7.93295,,,
9,ZINC000006256180,0.9844,In-Domain,-6.54607,,,
10,ZINC000006256182,0.9825,In-Domain,-6.50913,,,
